1d-interleaved-parityfec,application/1d-interleaved-parityfec
mads+xml,application/mads+xml
manifest+json,application/manifest+json
marc,application/marc
marcxml+xml,application/marcxml+xml
mathematica,application/mathematica
mathml+xml,application/mathml+xml
mathml-content+xml,application/mathml-content+xml
mathml-presentation+xml,application/mathml-presentation+xml
mbms-associated-procedure-description+xml,application/mbms-associated-procedure-description+xml
mbms-deregister+xml,application/mbms-deregister+xml
mbms-envelope+xml,application/mbms-envelope+xml
mbms-msk-response+xml,application/mbms-msk-response+xml
mbms-msk+xml,application/mbms-msk+xml
mbms-protection-description+xml,application/mbms-protection-description+xml
mbms-reception-report+xml,application/mbms-reception-report+xml
mbms-register-response+xml,application/mbms-register-response+xml
mbms-register+xml,application/mbms-register+xml
mbms-schedule+xml,application/mbms-schedule+xml
mbms-user-service-description+xml,application/mbms-user-service-description+xml
mbox,application/mbox
media_control+xml,application/media_control+xml
media-policy-dataset+xml,application/media-policy-dataset+xml
mediaservercontrol+xml,application/mediaservercontrol+xml
merge-patch+json,application/merge-patch+json
metalink4+xml,application/metalink4+xml
mets+xml,application/mets+xml
MF4,application/MF4
mikey,application/mikey
mipc,application/mipc
missing-blocks+cbor-seq,application/missing-blocks+cbor-seq
mmt-aei+xml,application/mmt-aei+xml
mmt-usd+xml,application/mmt-usd+xml
mods+xml,application/mods+xml
moss-keys,application/moss-keys
moss-signature,application/moss-signature
mosskey-data,application/mosskey-data
mosskey-request,application/mosskey-request
mp21,application/mp21
mp4,application/mp4
mpeg4-generic,application/mpeg4-generic
mpeg4-iod,application/mpeg4-iod
mpeg4-iod-xmt,application/mpeg4-iod-xmt
mrb-consumer+xml,application/mrb-consumer+xml
mrb-publish+xml,application/mrb-publish+xml
msc-ivr+xml,application/msc-ivr+xml
msc-mixer+xml,application/msc-mixer+xml
msword,application/msword
mud+json,application/mud+json
multipart-core,application/multipart-core
mxf,application/mxf
n-quads,application/n-quads
n-triples,application/n-triples
nasdata,application/nasdata
news-checkgroups,application/news-checkgroups
news-groupinfo,application/news-groupinfo
news-transmission,application/news-transmission
nlsml+xml,application/nlsml+xml
node,application/node
nss,application/nss
oauth-authz-req+jwt,application/oauth-authz-req+jwt
ocsp-request,application/ocsp-request
ocsp-response,application/ocsp-response
octet-stream,application/octet-stream
ODA,application/ODA
odm+xml,application/odm+xml
ODX,application/ODX
oebps-package+xml,application/oebps-package+xml
ogg,application/ogg
opc-nodeset+xml,application/opc-nodeset+xml
oscore,application/oscore
oxps,application/oxps
p21,application/p21
p21+zip,application/p21+zip
p2p-overlay+xml,application/p2p-overlay+xml
parityfec,application/parityfec
passport,application/passport
patch-ops-error+xml,application/patch-ops-error+xml
pdf,application/pdf
PDX,application/PDX
pem-certificate-chain,application/pem-certificate-chain
pgp-encrypted,application/pgp-encrypted
pgp-keys,application/pgp-keys
pgp-signature,application/pgp-signature
pidf-diff+xml,application/pidf-diff+xml
pidf+xml,application/pidf+xml
pkcs10,application/pkcs10
pkcs7-mime,application/pkcs7-mime
pkcs7-signature,application/pkcs7-signature
pkcs8,application/pkcs8
pkcs8-encrypted,application/pkcs8-encrypted
pkcs12,application/pkcs12
pkix-attr-cert,application/pkix-attr-cert
pkix-cert,application/pkix-cert
pkix-crl,application/pkix-crl
pkix-pkipath,application/pkix-pkipath
pkixcmp,application/pkixcmp
pls+xml,application/pls+xml
poc-settings+xml,application/poc-settings+xml
postscript,application/postscript
ppsp-tracker+json,application/ppsp-tracker+json
problem+json,application/problem+json
problem+xml,application/problem+xml
provenance+xml,application/provenance+xml
prs.alvestrand.titrax-sheet,application/prs.alvestrand.titrax-sheet
prs.cww,application/prs.cww
prs.cyn,application/prs.cyn
prs.hpub+zip,application/prs.hpub+zip
prs.nprend,application/prs.nprend
prs.plucker,application/prs.plucker
prs.rdf-xml-crypt,application/prs.rdf-xml-crypt
prs.xsf+xml,application/prs.xsf+xml
pskc+xml,application/pskc+xml
pvd+json,application/pvd+json
rdf+xml,application/rdf+xml
route-apd+xml,application/route-apd+xml
route-s-tsid+xml,application/route-s-tsid+xml
route-usd+xml,application/route-usd+xml
QSIG,application/QSIG
raptorfec,application/raptorfec
rdap+json,application/rdap+json
reginfo+xml,application/reginfo+xml
relax-ng-compact-syntax,application/relax-ng-compact-syntax
remote-printing,application/remote-printing
reputon+json,application/reputon+json
resource-lists-diff+xml,application/resource-lists-diff+xml
resource-lists+xml,application/resource-lists+xml
rfc+xml,application/rfc+xml
